,Restaurant Name,Category,Rating,Price,Address,Restaurant Detail Link
0,Onni House,Wonokromo | Kafe,4.47 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Opak No. 56, Wonokromo, Surabaya",/restaurants/surabaya/onni-house-wonokromo
1,Kollabora Coffee Geeks and Workspace,Dukuh Pakis | Kafe,4.80 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Kupang Indah No. 51, Dukuh Pakis, Surabaya",/restaurants/surabaya/kollabora-coffee-geeks-and-workspace-dukuh-pakis
2,Redback Specialty Coffee,Dukuh Pakis | Kafe,4.37 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya",/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2
3,Locaahands,Wonokromo | Kafe,4.44 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Opak No. 39, Wonokromo, Surabaya",/restaurants/surabaya/locaahands-wonokromo
4,Gyu Kaku,Tegalsari | Jepang,4.62 /5,Di atas Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/gyu-kaku-tegalsari
5,Garasi Ergo,Wiyung | Kafe,4.44 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Bintang Graha Famili X No. 2, Wiyung, Surabaya",/restaurants/surabaya/garasi-ergo-wiyung
6,Lime Restaurant - Four Points By Sheraton Hotel,Tegalsari | Barat,4.69 /5,Di atas Rp. 200.000 /orang,"Jl. Embong Malang, Tegalsari, Surabaya",/restaurants/surabaya/lime-restaurant-four-points-by-sheraton-hotel-tegalsari
7,Djournal Coffee,Tegalsari | Kafe,4.29 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/djournal-coffee-tegalsari
8,TuttoBono Ristorante,Dukuh Pakis | Italia,4.77 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Bukit Darmo Boulevard No. 9, Dukuh Pakis, Surabaya",/restaurants/surabaya/tuttobono-ristorante-dukuh-pakis
9,Yoshinoya,Genteng | Jepang,4.32 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Pemuda, Genteng, Surabaya",/restaurants/surabaya/yoshinoya-genteng
10,Breve,Wonokromo | Kafe,4.29 /5,Di bawah Rp. 50.000 /orang,"Jl. Sambas No. 20, Wonokromo, Surabaya",/restaurants/surabaya/breve-wonokromo
