,Restaurant Name,Category,Rating,Price Range,Address,Restaurant Detail Link,District
0,Onni House, Kafe,4.47,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Opak No. 56, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo,Wonokromo
1,Kollabora Coffee Geeks and Workspace, Kafe,4.8,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Kupang Indah No. 51, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/kollabora-coffee-geeks-and-workspace-dukuh-pakis,Dukuh Pakis
2,Redback Specialty Coffee, Kafe,4.37,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2,Dukuh Pakis
3,Locaahands, Kafe,4.44,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Opak No. 39, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/locaahands-wonokromo,Wonokromo
4,Gyu Kaku, Jepang,4.62,Di atas Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/gyu-kaku-tegalsari,Tegalsari
5,Garasi Ergo, Kafe,4.44,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Bintang Graha Famili X No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/garasi-ergo-wiyung,Wiyung
6,Lime Restaurant - Four Points By Sheraton Hotel, Barat,4.69,Di atas Rp. 200.000 /orang,"Jl. Embong Malang, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/lime-restaurant-four-points-by-sheraton-hotel-tegalsari,Tegalsari
7,Djournal Coffee, Kafe,4.29,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/djournal-coffee-tegalsari,Tegalsari
8,TuttoBono Ristorante, Italia,4.77,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Bukit Darmo Boulevard No. 9, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/tuttobono-ristorante-dukuh-pakis,Dukuh Pakis
9,Yoshinoya, Jepang,4.32,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Pemuda, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/yoshinoya-genteng,Genteng
10,Breve, Kafe,4.29,Di bawah Rp. 50.000 /orang,"Jl. Sambas No. 20, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/breve-wonokromo,Wonokromo
11,Urban Wagyu, Barat,4.3,Di atas Rp. 200.000 /orang,"Jl. Opak No. 50, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/urban-wagyu-wonokromo,Wonokromo
12,Boncafe, Barat,4.37,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/boncafe-mulyorejo,Mulyorejo
13,Starbucks, Kafe,4.42,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Telaga Golf Road U1 No. 33, Lakarsantri, Surabaya",https://pergikuliner.com/restaurants/surabaya/starbucks-lakarsantri,Lakarsantri
14,De Mandailing Cafe N Eatery, Kafe,4.18,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 71, Wonocolo, Surabaya",https://pergikuliner.com/restaurants/surabaya/de-mandailing-cafe-n-eatery-wonocolo,Wonocolo
15,KOI The, Kafe,4.25,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/koi-the-wiyung,Wiyung
16,Holycow! STEAKHOUSE by Chef Afit, Barat,4.37,Di atas Rp. 200.000 /orang,"Jl. Hayam Wuruk No. 6, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/holycow-steakhouse-by-chef-afit-wonokromo,Wonokromo
17,Corica Pastries, Kafe,4.47,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Biliton, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/corica-pastries-gubeng,Gubeng
18,Nordic Coffee, Kafe,4.32,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Tidar No. 67A, Sawahan, Surabaya",https://pergikuliner.com/restaurants/surabaya/nordic-coffee-sawahan,Sawahan
19,Layar Seafood, Indonesia,4.45,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Abdul Wahab Siamin No. 216, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/layar-seafood-dukuh-pakis,Dukuh Pakis
20,Pavilion Restaurant - JW Marriott Hotel Surabaya, Barat,4.57,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Embong Malang No. 85 - 89, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/pavilion-restaurant-jw-marriott-hotel-surabaya-tegalsari,Tegalsari
21,Chao Phraya, Thailand,4.22,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Trunojoyo No. 74, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/chao-phraya-tegalsari,Tegalsari
22,Bebini Gelati, Kafe,4.24,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada No. 183 - 185, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/bebini-gelati-gubeng,Gubeng
23,Jack & John, Indonesia,4.24,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/jack-dan-john-wiyung-2,Wiyung
24,Carpentier Kitchen, Kafe,4.1,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Untung Suropati No. 83, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/carpentier-kitchen-tegalsari,Tegalsari
25,Marugame Udon, Jepang,4.17,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/marugame-udon-tegalsari,Tegalsari
26,Maison Feerie, Toko Roti dan Kue,4.31,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/maison-feerie-wiyung,Wiyung
27,Holycow! STEAKHOUSE by Chef Afit, Barat,4.35,Di atas Rp. 200.000 /orang,"Jl. Pregolan Bunder No. 44, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/holycow-steakhouse-by-chef-afit-tegalsari-2,Tegalsari
28,Waroeng Pati Surabaya - Deka Hotel, Indonesia,4.57,Rp. 50.000 - Rp. 100.000 /orang,"Jl. HR Muhammad No. 24, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/waroeng-pati-surabaya-deka-hotel-dukuh-pakis,Dukuh Pakis
29,Cafe Bromo - Sheraton Surabaya Hotel & Towers,Tegalsari,4.85,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Embong Malang No. 25 - 31, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/cafe-bromo-sheraton-surabaya-hotel-dan-towers-tegalsari,
30,Pancious, Italia,4.23,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/pancious-wiyung,Wiyung
31,Marugame Udon, Jepang,4.18,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/marugame-udon-wiyung,Wiyung
32,Es Puter Pak Min, Es Krim,4.34,Di bawah Rp. 50.000 /orang,"Jl. Manyar Kertoarjo V No. 35, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/es-puter-pak-min-manyar,Manyar
